Scala Farbton;C;M;Y;K;HBW;RAL
09.24.15;0;45;100;0;50,3;
12.03.03;0;5;15;5;76,9;
12.03.06;10;10;20;0;69,4;
12.03.09;10;10;25;10;60,1;
12.03.12;25;20;35;10;48,8;
12.03.15;15;15;30;30;39,4;
12.03.18;5;10;25;50;33,9;
12.03.19;50;45;45;5;28,1;
12.03.21;50;45;50;20;23,1;
12.03.24;5;10;25;70;17,5;
12.03.27;5;15;30;80;12,3;
12.06.12;0;15;30;30;46,6;
12.06.15;0;15;35;35;41,3;
12.06.18;35;45;60;10;30,9;RAL 1019
12.06.19;25;35;45;30;26,7;
12.06.21;15;35;45;50;21,4;
12.06.24;50;60;70;35;13,6;
12.06.27;80;90;100;5;10,0;
12.09.06;0;15;35;0;70,9;
12.09.09;5;25;40;5;57,2;
12.09.12;15;35;45;0;48,6;
12.09.15;5;30;45;25;41,4;
12.09.18;0;35;50;35;30,5;
12.09.19;15;45;60;35;25,3;
12.09.21;50;70;80;0;19,0;
12.09.24;50;70;80;20;13,9;
12.09.27;35;60;80;60;10,0;
12.09.30;60;80;90;60;6,9;RAL 8014
12.09.33;35;40;30;100;4,3;RAL 8022
12.12.06;0;20;40;0;72,2;
12.12.09;0;20;40;5;64,5;
12.12.12;10;35;60;0;51,5;
12.12.15;0;35;60;20;39,9;
12.12.17;20;50;70;5;33,9;
12.12.18;5;45;70;30;27,6;RAL 1011
12.12.21;30;60;80;20;19,7;
12.12.24;40;70;90;30;15,1;
12.12.27;20;70;90;60;11,8;RAL 8008
12.13.12;0;40;70;0;53,3;
12.13.15;0;40;70;5;45,9;
12.13.18;5;50;80;20;31,3;
12.15.03;0;5;25;0;86,1;
12.15.06;0;15;40;0;76,8;
12.15.09;0;25;50;0;61,2;
12.15.12;0;40;70;0;56,7;
12.15.13;0;40;70;0;49,0;
12.15.15;0;50;80;5;40,8;
12.15.18;20;60;90;0;30,2;
12.15.21;0;60;90;45;18,9;RAL 8001
12.15.24;40;80;100;20;13,7;
12.18.02;0;10;35;0;81,3;
12.18.03;0;10;40;5;79,3;
12.18.06;0;20;45;0;75,6;
12.18.07;0;25;60;0;71,2;
12.18.09;0;30;60;0;65,2;
12.18.12;0;45;80;0;50,2;RAL 1017
12.18.15;0;50;100;0;44,9;RAL 1033
12.18.18;0;50;100;0;37,6;RAL 1007
12.18.21;20;70;100;10;22,2;
12.21.12;0;45;90;0;56,2;
12.21.15;0;50;100;0;46,7;RAL 1028
12.21.18;0;50;100;0;41,1;RAL 1037
15.03.03;0;5;15;0;83,5;
15.03.06;0;5;15;5;76,0;
15.03.09;10;15;25;5;61,4;
15.03.12;15;20;35;10;50,4;
15.03.15;10;20;35;30;39,6;
15.03.18;15;20;35;45;31,2;
15.03.21;0;15;25;60;23,9;
15.03.22;15;25;35;60;20,4;
15.03.24;5;25;35;70;17,2;
15.06.03;0;5;15;0;87,7;
15.06.06;0;5;15;5;76,1;
15.06.09;0;10;25;10;66,4;
15.06.12;10;20;30;5;56,1;
15.06.15;25;35;40;5;43,6;
15.06.16;0;20;35;40;37,2;
15.06.18;5;30;40;45;30,3;
15.06.21;20;40;50;40;26,0;
15.06.22;5;35;45;60;19,6;
15.06.24;40;60;70;35;13,9;RAL 8025
15.06.27;15;50;50;80;8,9;
15.06.30;10;60;50;90;6,5;RAL 8017
15.09.03;0;5;20;0;83,8;
15.09.06;0;10;20;0;76,2;
15.09.09;5;20;35;0;63,5;
15.09.12;10;30;40;0;57,0;
15.09.15;5;35;45;15;46,5;
15.09.17;5;35;45;25;38,4;
15.09.18;0;40;50;35;31,2;
15.09.21;40;60;70;15;21,8;
15.09.24;20;60;70;50;13,0;RAL 8024
15.09.27;20;60;70;70;9,4;
15.09.30;20;60;70;80;8,0;RAL 8028
15.12.03;0;10;25;0;77,0;
15.12.06;0;15;30;0;74,8;
15.12.09;0;25;40;5;65,5;
15.12.12;5;35;45;0;56,1;
15.12.15;5;45;60;5;42,4;
15.12.18;0;45;60;30;30,5;
15.12.21;5;60;80;40;20,2;
15.12.24;45;80;100;30;12,7;RAL 8003
15.12.27;5;70;80;70;10,5;RAL 8007
15.15.01;0;5;20;0;88,3;
15.15.03;0;5;20;0;85,1;
15.15.06;0;15;30;0;76,4;
15.15.09;0;30;45;0;65,1;
15.15.12;0;40;60;0;55,3;
15.15.15;0;50;70;0;46,6;
15.15.18;15;60;80;0;30,6;
15.15.21;20;70;90;15;21,5;
15.15.24;5;70;90;50;13,9;
15.18.06;0;20;40;0;76,4;
15.18.07;0;30;45;0;69,4;
15.18.09;0;35;60;0;64,3;
15.18.12;0;45;70;0;56,5;
15.18.15;0;50;80;0;44,2;RAL 1034
15.18.18;15;70;100;0;27,9;
15.18.21;5;70;100;30;21,5;
15.21.15;0;60;100;0;41,6;
15.21.18;0;60;100;5;28,9;
15.ME.01;45;60;70;35;~ 13;Kupfer
18.06.03;0;5;10;0;83,6;
18.06.06;5;10;15;0;74,0;
18.06.09;5;10;20;10;65,3;
18.06.12;15;20;25;5;54,6;
18.06.15;25;25;35;10;44,0;
18.06.17;40;40;40;5;36,7;
18.06.18;40;45;45;10;31,2;
18.06.21;5;20;25;60;21,5;
18.06.24;10;30;30;70;14,0;
18.06.27;40;50;45;70;9,3;
18.06.30;20;45;40;90;6,4;
18.06.33;5;40;35;100;5,6;
18.09.03;0;10;20;0;80,9;
18.09.06;0;15;35;5;71,6;
18.09.09;0;20;30;5;62,5;
18.09.12;0;30;40;10;56,1;
18.09.13;0;30;40;15;50,4;
18.09.15;5;40;50;10;43,2;
18.09.18;0;40;45;30;31,4;
18.09.21;0;45;50;50;21,1;
18.09.24;20;60;70;40;15,8;
18.09.25;70;90;100;0;11,3;
18.09.27;70;90;100;30;8,1;RAL 8011
18.09.30;70;90;100;50;7,0;
18.12.03;0;15;25;0;76,1;
18.12.06;0;20;30;0;76,0;
18.12.07;0;20;30;0;69,4;
18.12.09;0;30;40;0;62,8;
18.12.13;0;40;45;0;52,1;
18.12.15;0;45;60;5;43,2;
18.12.18;20;60;70;0;31,5;
18.12.21;15;60;70;25;22,3;
18.12.24;40;80;90;20;14,2;
18.12.27;50;90;100;25;10,0;
18.12.30;45;90;100;60;8,5;
18.15.09;0;40;45;0;64,2;
18.15.12;0;45;60;0;57,3;
18.15.15;0;50;60;0;44,3;
18.15.18;15;70;80;0;28,6;
18.15.21;10;70;90;25;20,8;
18.15.24;35;80;100;5;17,6;RAL 8023
18.15.27;10;80;90;45;13,7;
18.15.30;50;90;100;20;12,1;
18.15.33;10;80;90;70;8,8;
18.18.12;0;50;70;0;52,7;
18.18.15;0;60;80;0;42,6;
18.18.18;0;70;90;0;30,6;
18.21.15;0;60;80;0;41,7;
18.21.18;0;70;100;0;30,2;RAL 2011
18.24.18;0;60;100;0;36,7;
18.24.21;0;70;100;0;28,3;RAL 2000
21.06.21;35;50;50;20;25,4;
21.06.24;0;30;35;70;17,5;
21.06.27;45;60;60;60;11,8;
21.06.30;40;60;60;70;8,1;
21.06.33;70;90;90;80;5,6;
21.09.02;0;5;15;0;87,6;
21.09.03;0;5;15;0;85,5;
21.09.06;0;10;20;0;73,7;
21.09.09;0;15;25;5;65,5;
21.09.12;0;25;35;10;54,3;
21.09.15;10;40;40;10;44,4;
21.09.18;10;45;50;25;31,0;
21.09.21;0;45;45;50;21,8;
21.09.22;45;70;70;15;17,7;
21.09.24;5;60;60;60;12,4;RAL 8002
21.09.27;20;80;70;60;7,7;RAL 8015
21.12.06;0;20;30;0;77,1;
21.12.09;0;25;30;0;65,5;
21.12.12;5;35;40;5;53,4;
21.12.15;5;45;50;5;43,2;
21.12.16;10;50;50;5;38,0;
21.12.18;20;60;70;5;30,3;
21.12.21;10;70;70;25;21,8;
21.12.24;15;80;80;40;13,6;RAL 8004
21.12.27;15;80;80;60;9,4;
21.12.30;15;80;70;60;8,1;RAL 8012
21.15.12;0;40;45;0;55,4;
21.15.15;0;50;50;0;45,6;
21.15.16;5;60;70;0;39,3;
21.15.18;10;70;70;0;29,5;
21.15.21;20;80;90;5;19,8;
21.15.24;10;80;80;45;13,7;
21.15.27;40;90;100;30;10,6;
21.16.18;0;70;80;0;31,1;
21.16.21;10;80;90;0;25,8;
21.16.24;10;90;100;10;20,0;
21.18.12;0;40;45;0;60,2;
21.18.15;0;50;60;0;52,5;
21.18.16;0;60;80;0;46,0;
21.18.18;0;70;100;0;35,9;RAL 2003
21.18.21;0;80;100;0;30,6;RAL 2008
21.18.24;0;80;100;5;23,2;RAL 2010
21.ME.01;35;70;70;20;~ 20;
24.06.03;0;5;10;0;85,5;
24.06.06;0;10;15;0;73,5;
24.06.09;5;15;20;0;66,8;
24.06.12;5;20;25;10;57,2;
24.06.15;15;30;35;15;45,2;
24.06.18;35;50;45;10;31,3;
24.06.19;35;50;50;25;24,3;
24.06.22;30;50;50;45;19,5;
24.06.24;10;45;40;60;15,2;
24.06.27;0;45;30;80;9,7;
24.06.30;45;80;60;80;5,4;RAL 3007
24.09.09;0;20;25;0;65,4;
24.09.12;0;30;35;5;55,0;
24.09.15;15;45;40;0;45,3;
24.09.16;10;45;40;10;39,7;
24.09.18;10;50;45;20;32,3;
24.09.21;0;40;40;50;25,0;
24.09.24;25;70;60;50;13,8;
24.09.27;35;80;60;60;8,8;
24.09.30;35;80;80;80;6,7;RAL 8016
24.12.03;0;10;15;0;80,8;
24.12.06;0;20;25;0;76,7;
24.12.09;0;30;30;0;66,1;
24.12.12;0;40;40;5;56,8;
24.12.15;5;50;45;0;45,2;
24.12.16;0;50;50;10;40,5;
24.12.18;20;60;60;0;32,2;RAL 3012
24.12.21;0;60;60;35;21,5;
24.13.18;5;60;60;10;34,2;
24.13.21;15;70;70;5;24,4;
24.13.24;25;80;70;20;17,5;
24.15.12;0;50;45;0;56,0;
