Scala Farbton;C;M;Y;K;HBW;RAL
45.15.21;30;50;5;30;22,9;
45.15.24;70;80;40;0;14,9;
45.15.27;45;70;0;60;8,9;
45.18.12;15;25;0;0;57,7;
45.18.15;30;40;0;0;45,5;
45.18.18;40;50;0;0;32,7;
45.18.21;50;60;0;0;23,1;
45.18.24;60;80;0;5;14,8;
45.18.27;70;90;0;30;9,4;
45.18.30;70;90;0;60;6,0;
45.ME.01;50;45;50;10;~ 27;DB 702
48.06.06;10;5;5;0;74,6;
48.06.09;20;10;10;0;69,0;
48.06.12;5;0;0;25;57,2;
48.06.15;5;0;0;45;44,0;
48.06.18;20;10;10;45;33,0;
48.06.21;30;20;15;50;23,6;
48.06.24;45;35;20;60;14,6;
48.06.27;70;60;45;45;10,2;
48.06.30;50;40;10;90;6,0;
48.09.12;25;20;10;0;57,3;
48.09.15;25;25;5;15;46,3;
48.09.18;25;25;5;30;33,2;
48.09.21;30;30;0;50;23,1;
48.09.24;35;35;0;60;15,2;
48.09.27;70;60;35;50;9,4;
48.09.30;70;70;10;70;6,1;
48.12.09;15;15;0;0;68,1;
48.12.12;20;20;0;0;57,9;
48.12.15;25;25;0;15;45,0;
48.12.18;40;45;5;10;33,4;
48.12.21;50;60;5;20;19,0;RAL 4005
48.12.24;60;60;25;30;14,4;
48.12.27;90;90;50;0;9,4;
48.15.15;30;30;0;0;45,8;
48.15.18;40;40;0;5;33,9;
48.15.21;60;60;0;0;24,1;
48.15.24;70;80;5;0;15,6;
48.15.27;80;90;15;15;9,8;
48.15.30;80;90;0;50;6,7;
48.15.33;90;90;35;40;6,5;
48.18.24;70;80;0;15;12,7;
51.03.12;5;5;10;20;58,5;RAL 7047
51.03.18;5;5;10;50;34,4;RAL 7004
51.03.24;15;10;20;60;23,2;RAL 7037
51.06.06;0;0;0;15;75,4;
51.06.09;10;5;5;10;67,8;
51.06.12;10;5;5;20;57,3;
51.06.15;20;15;10;20;46,0;
51.06.18;20;15;10;40;33,9;
51.06.21;30;25;15;50;23,0;
51.06.24;40;30;15;60;15,9;
51.06.27;40;35;15;70;10,4;
51.06.30;80;80;50;60;5,9;
51.09.06;10;5;0;5;75,4;
51.09.09;15;5;0;10;67,4;
51.09.12;20;15;5;5;57,5;
51.09.15;30;25;5;10;45,7;
51.09.18;45;35;20;15;32,9;
51.09.21;45;35;10;35;22,6;
51.09.24;45;40;10;50;16,0;
51.09.27;50;40;0;70;10,1;
51.12.15;30;25;0;10;45,8;
51.12.18;35;25;0;25;33,2;
51.12.21;40;35;0;35;23,8;
51.12.24;50;40;0;50;17,0;
51.12.27;70;60;10;50;10,8;
51.12.30;100;100;50;15;5,9;RAL 5022
51.15.09;20;10;0;0;66,4;
51.15.12;30;20;0;0;55,1;
51.15.15;40;30;0;0;44,7;
51.15.18;45;35;0;0;36,6;
51.15.21;60;50;0;10;24,1;
51.15.24;70;60;10;20;15,6;
51.15.27;70;60;0;50;9,8;
51.15.30;90;90;15;25;7,0;
51.18.21;60;50;0;0;25,3;
51.18.24;70;70;5;5;16,7;
51.18.27;80;80;0;35;10,3;
51.ME.01;50;45;50;45;~ 14;DB 703
54.09.12;20;10;5;10;58,3;
54.09.15;35;20;10;5;46,0;
54.09.18;50;35;20;10;34,8;
54.09.21;40;25;10;45;23,0;
54.09.24;80;70;45;10;14,9;
54.09.27;90;80;50;5;10,3;
54.09.30;90;80;45;50;7,0;
54.12.06;10;0;0;5;76,9;
54.12.09;20;10;5;0;64,8;
54.12.12;30;10;5;0;59,3;
54.12.15;35;15;0;15;45,1;
54.12.18;50;30;5;15;33,4;
54.12.21;70;50;5;10;24,4;
54.12.24;70;50;0;40;15,5;
54.12.27;90;70;15;35;10,2;
54.12.30;90;70;0;60;7,1;
54.15.12;30;15;0;0;58,2;
54.15.15;45;25;0;20;45,8;
54.15.18;60;30;0;10;34,8;
54.15.21;70;50;5;0;24,4;
54.15.24;90;60;0;5;16,5;
54.15.27;90;70;0;25;10,6;
54.15.30;70;45;30;80;7,4;RAL 5002
57.06.03;10;5;10;0;79,0;
57.06.06;10;0;0;10;74,5;
57.06.09;15;5;5;5;69,6;
57.06.12;25;10;10;0;62,6;
57.06.15;15;0;0;35;47,2;
57.06.18;30;10;10;35;34,7;
57.06.21;45;30;20;35;24,7;
57.06.24;45;30;20;60;15,4;
57.06.27;50;30;20;70;10,2;
57.06.30;70;45;30;80;6,5;
57.06.33;30;10;10;100;4,8;RAL 9011
57.09.09;25;5;5;0;65,6;
57.09.12;30;10;10;5;55,6;
57.09.15;40;25;20;0;43,2;
57.09.18;50;35;25;0;32,5;
57.09.21;35;15;5;50;25,1;
57.09.24;70;45;35;40;15,6;
57.09.27;60;40;15;60;11,6;
57.09.30;70;40;5;80;7,4;
57.09.33;80;50;20;90;5,2;RAL 5011
57.09.36;90;60;30;90;4,4;
57.12.09;20;5;0;5;66,5;
57.12.12;35;10;5;0;57,6;
57.12.15;35;10;0;15;47,3;
57.12.18;50;25;5;15;34,6;
57.12.21;60;40;15;15;24,5;
57.12.24;70;50;20;30;16,0;
57.12.27;90;70;30;40;9,9;
57.12.30;90;70;40;50;6,4;RAL 5003
57.12.33;100;90;45;35;6,1;RAL 5013
57.15.12;35;10;0;0;56,4;
57.15.15;45;20;0;0;44,7;
57.15.18;60;25;0;10;35,4;
57.15.21;60;30;0;20;24,8;
57.15.24;80;50;10;20;15,4;
57.15.27;100;80;30;15;9,9;
57.15.30;100;80;30;45;6,9;
57.18.15;50;20;0;0;45,9;
57.18.18;60;30;0;0;34,8;
57.18.21;80;50;5;5;20,8;
57.18.24;90;60;10;15;15,0;
57.18.27;100;70;10;20;9,9;
57.18.30;100;70;10;50;6,7;
57.21.18;70;30;0;0;33,2;
57.21.21;70;35;0;5;25,5;
57.21.24;90;60;0;0;17,7;
57.21.27;90;60;5;20;13,2;
57.21.30;100;70;5;20;10,3;
60.03.24;30;20;25;35;30,9;RAL 7045
60.06.03;0;0;5;5;84,9;
60.06.06;5;0;5;5;78,2;
60.06.09;20;10;15;0;65,1;
60.06.12;30;15;20;0;54,4;
60.06.15;30;20;25;10;45,4;
60.06.18;25;15;20;40;35,0;
60.06.19;10;0;0;60;27,8;
60.06.21;45;30;35;45;22,3;
60.06.24;50;40;40;50;15,0;
60.06.27;35;25;25;70;11,3;RAL 7015
60.06.30;20;5;0;90;9,3;RAL 7024
60.09.03;10;0;5;0;81,4;
60.09.06;15;0;5;0;76,6;
60.09.09;20;0;5;15;62,5;
60.09.12;25;5;5;10;58,3;
60.09.15;25;5;5;25;46,7;
60.09.18;50;30;25;10;36,1;
60.09.19;45;15;10;35;29,4;
60.09.21;60;40;25;20;21,5;RAL 5014
60.09.24;70;45;25;45;15,5;
60.09.27;90;70;45;25;10,4;
60.09.30;90;70;40;60;6,7;
60.09.33;90;80;60;80;4,6;RAL 5004
60.12.09;25;5;5;0;66,3;
60.12.12;35;10;10;0;56,8;
60.12.15;45;15;5;10;45,3;
60.12.18;45;10;0;25;34,6;
60.12.21;70;40;20;5;24,4;
60.12.24;70;30;5;45;16,3;RAL 5023
60.12.27;90;60;35;40;10,0;RAL 5000
60.12.30;90;45;5;70;6,8;
60.15.09;25;0;0;5;67,2;
60.15.12;35;5;0;5;59,0;
60.15.15;50;10;0;10;45,6;
60.15.18;60;30;10;0;34,2;
60.15.21;70;20;0;25;24,3;
60.15.24;80;40;10;30;16,1;
60.15.27;100;70;35;25;10,0;
60.15.30;100;60;10;60;7,0;
60.18.12;35;5;0;0;58,4;
60.18.15;60;15;0;0;44,5;
60.18.18;60;20;0;5;34,2;
60.18.21;80;25;0;15;25,3;
60.18.24;90;40;5;25;17,1;
60.18.27;100;60;20;35;9,2;RAL 5010
60.21.18;70;20;0;0;33,4;
60.21.21;90;30;0;5;24,2;
60.21.24;90;30;0;20;17,2;
60.21.27;100;50;0;45;10,0;RAL 5005
60.ME.01;20;15;20;25;~ 53;RAL 9006
63.03.15;20;10;15;40;36,1;RAL 7040
63.03.18;45;25;35;20;31,5;RAL 7001
63.03.21;30;15;20;50;25,5;RAL 7046
63.06.03;10;0;0;5;80,5;
63.06.06;15;0;0;10;72,8;
63.06.09;20;0;5;10;66,3;
63.06.12;25;5;5;10;60,4;
63.06.15;15;0;0;35;46,9;
63.06.18;20;5;5;50;33,8;
63.06.21;40;20;20;50;22,3;
63.06.24;45;25;20;60;15,6;
63.06.27;45;10;5;80;9,9;
63.06.30;60;35;30;80;6,9;RAL 5008
63.06.33;90;90;90;45;6,2;RAL 7021
63.09.03;15;0;5;0;81,4;
63.09.06;20;0;5;0;76,2;
63.09.09;25;0;5;10;62,0;
63.09.12;35;5;10;0;60,1;
63.09.15;30;0;5;25;47,0;
63.09.18;45;15;15;20;34,5;
63.09.21;70;45;40;5;23,0;
63.09.24;60;15;15;60;15,4;
63.09.27;60;15;10;70;11,2;
63.12.03;20;0;10;0;74,7;
63.12.06;30;0;10;0;73,8;
63.12.09;40;0;5;0;62,8;
63.12.12;45;0;5;15;47,3;
63.12.15;60;20;20;0;36,6;
63.12.18;60;15;15;20;28,3;RAL 5024
63.12.21;60;15;10;35;24,4;
63.12.24;80;35;15;35;15,0;RAL 5007
63.12.27;80;10;0;70;10,0;
63.12.30;90;50;20;70;6,7;
63.15.12;40;0;5;0;57,6;
63.15.15;50;0;5;10;46,8;
63.15.18;60;5;0;15;36,7;
63.15.21;80;30;20;10;24,9;
63.15.24;90;40;20;25;16,2;
63.15.27;90;45;35;45;11,7;RAL 5009
63.18.12;50;0;5;0;57,3;
63.18.15;70;0;5;0;45,3;
63.18.18;70;10;5;0;36,2;
63.18.21;90;30;15;0;23,5;RAL 5012
63.18.24;90;15;0;25;18,9;RAL 5015
63.18.27;90;25;10;50;11,9;RAL 5019
63.21.27;100;45;10;35;11,3;RAL 5017
63.ME.01;15;5;10;35;~ 13;
66.03.03;5;0;10;5;75,6;
66.03.06;15;5;15;0;72,9;
66.03.09;20;5;15;5;63,5;
66.03.12;20;5;15;15;58,3;
66.03.15;30;10;20;15;48,9;
66.03.18;45;25;30;10;37,0;
66.06.03;20;0;10;0;78,9;
66.06.06;20;0;10;0;75,4;
66.06.09;20;0;5;10;65,6;
66.06.12;30;5;15;5;57,5;
66.06.15;40;15;20;15;42,6;
66.06.18;25;0;5;50;33,5;
66.06.21;40;20;25;45;26,1;RAL 7000
66.06.24;40;20;25;60;16,3;RAL 7031
66.06.27;70;45;40;60;9,6;
66.06.30;50;5;15;90;6,4;
66.09.12;30;0;10;10;57,9;
66.09.15;45;10;20;10;46,0;
66.09.18;40;5;10;40;32,3;
66.09.21;70;30;35;25;22,4;
66.09.24;70;30;30;50;14,9;
66.09.27;70;20;25;70;9,1;
66.09.30;80;30;25;80;6,6;
66.12.03;25;0;10;0;78,4;
66.12.06;25;0;5;0;75,9;
66.12.09;25;0;5;0;69,8;
66.12.12;45;5;15;0;56,2;
66.12.15;50;0;10;10;46,1;
66.12.18;60;5;15;20;32,1;
66.12.21;70;10;15;35;23,4;
66.12.24;90;50;40;10;15,9;
66.12.27;90;30;20;60;10,1;
66.12.30;100;60;50;50;7,6;
66.15.09;45;0;10;0;62,3;
66.15.12;50;0;10;0;55,7;
66.15.15;70;0;10;0;47,3;
66.15.18;80;5;15;5;34,2;
66.15.21;80;10;15;20;23,8;
66.15.24;90;20;20;35;16,0;
66.15.27;100;40;25;45;10,7;
66.15.30;100;80;60;5;8,5;RAL 5001
66.18.12;50;0;10;0;56,9;
66.18.15;70;0;10;0;45,0;
66.18.18;90;0;10;5;33,4;
66.18.21;90;5;10;20;24,7;
66.18.24;100;15;15;30;15,7;
66.18.27;100;20;15;50;11,5;
69.03.03;10;0;10;0;85,4;
69.03.06;10;0;10;5;73,7;
69.03.09;10;0;10;15;63,5;
69.03.12;30;15;25;0;51,9;
69.03.15;20;5;15;30;43,5;
69.03.18;20;5;15;50;32,6;
69.03.21;45;30;40;40;22,4;
69.03.24;60;45;45;35;15,1;
69.03.27;30;5;10;80;11,1;
69.03.30;80;60;60;70;6,5;
69.06.09;15;0;10;15;62,9;
69.06.12;30;5;20;15;53,7;
69.06.15;40;15;30;10;44,1;
69.06.18;25;0;15;50;31,7;
69.06.21;45;20;30;50;22,2;
69.06.24;40;0;15;70;15,1;
69.06.27;45;5;20;80;10,5;
69.06.30;35;5;20;90;8,2;RAL 7026
69.06.33;70;35;45;80;6,5;
69.06.36;60;0;20;100;4,9;
69.09.12;30;5;15;5;58,5;
69.09.15;45;10;20;0;46,1;
69.09.18;45;5;15;30;32,4;
69.09.21;60;5;25;45;22,9;
69.09.24;70;5;25;60;14,9;
69.09.27;70;10;30;70;9,9;
69.09.30;80;10;30;80;6,9;
69.12.06;25;0;10;0;76,7;
69.12.09;30;0;10;0;66,1;
69.12.12;40;0;10;5;58,4;
69.12.15;60;0;15;5;46,8;
69.12.18;60;0;15;20;33,8;
69.12.21;70;10;20;30;23,6;
69.12.24;90;45;40;25;15,1;
69.12.27;100;70;60;15;9,7;
69.12.30;100;40;35;70;7,0;
69.15.06;30;0;10;0;74,7;
69.15.09;35;0;10;0;64,0;
69.15.12;50;0;15;0;57,2;
69.15.15;60;0;15;0;45,4;
69.15.18;80;0;15;5;35,5;
69.15.21;90;20;25;5;24,7;
69.15.24;90;0;15;50;16,4;
69.15.27;100;5;20;60;10,9;
69.18.03;20;0;10;0;78,7;
69.18.06;30;0;15;0;74,5;
69.18.09;45;0;20;0;67,0;
69.18.12;50;0;20;0;57,3;
69.18.15;70;0;25;0;44,3;
69.18.18;80;0;25;0;34,8;
69.18.21;100;10;35;5;24,7;
69.18.24;100;15;40;20;17,1;
69.18.27;100;0;25;60;10,6;
69.21.09;45;0;25;0;65,9;
69.21.12;60;0;30;0;54,4;
69.21.15;70;0;30;0;44,2;
69.21.18;80;0;30;5;35,8;
69.21.21;90;5;40;5;25,3;
69.21.24;100;35;50;0;16,4;
69.21.27;100;20;45;50;10,8;
69.24.24;100;20;40;20;15,7;
72.06.24;15;0;5;80;13,9;RAL 7012
72.06.27;45;25;35;70;12,0;RAL 7011
72.06.30;40;20;25;90;7,8;RAL 7016
72.09.03;20;0;15;0;76,2;
72.09.06;25;0;15;0;74,3;
72.09.09;35;0;20;0;63,0;
72.09.12;40;0;25;5;53,1;
72.09.15;50;0;30;20;38,9;RAL 6034
72.09.18;45;0;20;30;34,1;
72.09.21;70;30;40;20;23,3;
72.09.24;60;5;30;60;15,3;
72.09.27;80;30;50;60;10,2;
72.09.30;90;35;50;60;7,8;
72.12.06;30;0;15;0;75,4;
72.12.09;35;0;15;0;65,7;
72.12.12;45;0;20;0;56,6;
72.12.15;50;0;25;10;44,7;
72.12.18;70;10;30;5;33,1;
72.12.21;80;10;35;30;22,8;
72.12.24;80;10;30;50;16,1;
72.12.27;90;15;30;60;10,1;
72.12.30;100;20;35;80;7,0;
72.15.15;60;0;30;0;44,6;
72.15.18;70;10;40;0;34,1;
72.15.21;80;0;40;30;22,8;RAL 5018
72.15.24;90;25;50;30;15,4;
72.15.27;100;40;60;45;10,4;
72.15.30;90;0;30;80;7,0;RAL 5020
72.18.09;45;0;30;0;64,9;
72.18.12;60;0;40;0;56,2;
72.18.15;70;0;40;0;44,4;
72.18.18;80;0;45;0;35,7;
72.18.21;90;5;50;5;25,0;
72.18.24;90;10;50;30;15,9;RAL 5021
72.18.27;100;0;45;60;10,3;
72.21.18;90;0;40;5;34,1;
72.21.21;100;0;50;15;21,1;
72.21.24;100;10;50;25;16,6;
72.ME.01;30;15;25;5;~ 49;
75.01.09;10;5;20;15;58,3;
75.01.12;30;20;35;5;52,5;
75.03.03;5;0;10;0;86,6;RAL 9016
75.03.06;10;5;15;5;69,2;
75.03.09;15;5;20;10;61,1;RAL 9018
75.03.12;15;10;20;10;57,9;RAL 7035
75.03.15;25;15;30;15;44,7;RAL 7038
75.03.18;25;15;25;45;30,3;RAL 7042
75.03.21;45;35;45;40;23,4;
75.03.24;45;35;45;45;18,0;RAL 7005
75.03.27;35;15;35;80;11,6;RAL 7043
75.06.03;10;0;10;0;84,4;
75.06.06;10;0;10;5;75,7;
75.06.09;15;0;15;10;67,0;
75.06.12;20;5;20;15;56,7;
75.06.15;35;15;30;10;44,8;
75.06.18;35;15;30;35;31,7;
75.06.21;60;45;50;5;23,4;
75.06.24;45;25;40;60;15,7;
75.06.27;45;20;30;80;9,4;
75.09.03;10;0;10;0;83,1;
75.09.06;15;0;15;0;77,7;
75.09.09;25;0;20;5;66,5;
75.09.12;30;5;25;5;56,6;
75.09.15;35;5;30;20;45,0;
75.09.18;35;5;30;40;33,8;
75.09.21;60;35;50;25;23,4;
75.09.24;40;0;35;70;15,2;
75.09.27;90;60;70;50;7,1;
75.09.30;90;45;70;90;5,6;
75.12.06;25;0;15;0;75,2;
75.12.09;35;0;25;0;65,8;
75.12.12;50;0;35;0;56,2;
75.12.15;50;0;30;5;44,1;RAL 6027
75.12.18;60;20;45;10;32,9;
75.12.21;70;25;50;20;24,1;
75.12.24;80;45;60;20;15,6;
75.12.27;100;80;80;15;7,6;RAL 6004
75.15.09;30;0;25;0;65,6;
75.15.12;40;0;30;0;56,2;
75.15.15;50;0;35;5;45,2;
75.15.18;60;10;45;10;34,5;
75.15.21;80;35;60;0;22,5;RAL 6033
75.15.24;60;5;45;60;15,5;
75.15.27;80;10;45;70;9,5;
75.18.03;25;0;20;0;80,6;
75.18.06;30;0;25;0;72,9;
75.18.09;45;0;30;0;63,0;
75.18.12;60;0;45;0;53,2;
75.18.15;70;0;45;0;43,6;
75.18.18;90;0;60;0;35,9;
75.18.21;90;5;60;0;24,7;
75.18.24;100;40;70;0;16,5;
75.18.27;100;30;70;40;10,5;
75.21.24;100;5;70;40;13,2;
75.ME.01;10;5;15;30;~ 16;
75.ME.02;15;15;25;50;~ 29;RAL 9007
78.01.03;10;0;10;0;83,3;
78.01.06;5;0;10;10;72,2;
78.01.09;5;0;10;20;62,0;
78.01.12;25;15;25;15;48,4;
78.01.15;35;20;35;25;36,5;
78.01.18;30;20;30;45;28,0;
78.01.21;50;40;45;30;21,3;
78.01.24;10;0;15;80;15,4;
78.01.27;10;0;10;90;10,3;
78.01.30;30;15;35;90;8,4;
78.01.33;60;50;60;90;5,9;
78.03.03;10;0;15;0;84,0;
78.03.06;10;0;15;5;76,2;
78.03.09;20;5;25;5;62,1;
78.03.12;20;0;25;15;57,0;
78.03.15;25;0;25;30;45,8;
78.03.18;35;0;35;45;31,7;
78.03.21;50;20;45;35;22,2;
78.03.24;80;60;70;15;14,3;
78.03.27;70;30;50;70;9,3;
78.03.30;35;0;30;90;6,9;RAL 6012
78.06.03;15;0;20;0;84,0;
78.06.06;20;0;25;0;76,3;
78.06.09;30;0;30;0;64,1;
78.06.12;45;0;40;0;53,3;
78.06.15;50;0;45;10;45,2;
78.06.18;60;10;60;10;33,1;
78.06.21;80;20;70;15;22,8;
78.06.24;80;30;70;25;17,0;RAL 6000
78.06.27;60;5;60;70;10,0;RAL 6028
78.06.30;100;80;100;35;7,2;
78.09.03;10;0;15;0;79,6;
78.09.06;25;0;20;0;75,1;
78.09.09;25;0;25;0;65,2;
78.09.12;35;0;30;0;56,3;
78.09.15;50;0;40;15;43,5;
78.09.18;60;15;50;5;33,3;
78.09.21;60;5;60;45;22,6;
78.09.24;80;45;70;20;15,0;
78.12.12;50;0;40;5;55,2;
78.12.15;60;0;50;0;43,6;
78.12.18;70;0;60;10;33,0;
78.12.21;90;0;60;5;24,8;
78.12.24;90;5;70;40;15,7;
78.12.27;100;45;80;20;10,5;RAL 6026
78.15.15;60;0;45;0;43,5;
78.15.18;70;0;50;5;33,8;
78.15.21;70;5;60;25;24,0;
78.15.24;80;15;70;40;14,8;
78.15.27;90;35;70;50;9,5;
78.18.03;35;0;30;0;77,9;
78.18.06;35;0;30;0;73,6;
78.18.09;50;0;40;5;63,3;
78.18.12;60;0;50;0;53,6;
78.18.15;70;0;60;0;45,1;
78.18.18;80;0;60;0;34,8;
78.18.21;90;0;70;5;24,4;
78.18.24;100;15;90;15;16,5;
81.03.03;5;0;10;0;84,0;
81.03.06;10;0;15;5;76,6;
81.03.09;25;10;25;0;59,1;
81.03.12;30;15;30;5;49,7;
81.03.15;35;15;35;10;45,0;
81.03.16;25;10;25;35;37,4;
81.03.18;20;5;25;50;30,6;
81.03.21;25;10;30;60;22,4;
81.03.24;40;25;40;60;16,1;
81.03.27;45;20;40;80;10,2;
81.03.30;50;25;45;90;6,2;
81.03.33;60;0;40;100;5,0;
81.06.03;5;0;15;0;85,0;
81.06.06;15;0;20;0;74,1;
81.06.09;15;5;25;5;66,0;
81.06.12;25;5;30;10;55,6;
81.06.15;25;0;35;30;42,9;
81.06.16;25;0;35;40;37,1;
81.06.18;50;30;50;5;31,6;
81.06.21;50;25;60;45;21,2;
81.06.24;35;0;45;70;13,3;
81.06.27;35;5;45;80;9,5;
81.06.30;50;10;60;90;6,1;RAL 6009
81.06.33;70;35;70;90;5,8;
81.09.03;10;0;25;0;83,6;
81.09.06;15;0;30;0;74,9;
81.09.09;25;0;40;0;66,9;
81.09.12;30;5;40;5;57,8;RAL 6019
81.09.15;35;0;45;20;45,4;
81.09.16;40;0;50;25;39,1;
81.09.18;40;0;50;30;33,6;
81.09.21;50;5;60;50;21,6;
81.09.24;70;35;80;45;13,1;
81.09.27;80;50;80;50;9,7;
81.09.30;90;20;80;80;7,0;RAL 6005
81.12.06;25;0;45;0;75,5;
81.12.09;30;0;50;0;62,6;
81.12.12;40;0;60;0;54,4;
81.12.15;50;5;70;0;44,2;
81.12.16;50;10;70;5;38,1;
81.12.18;50;0;70;30;29,9;
81.12.21;60;30;70;15;24,6;
81.12.24;80;60;90;15;13,4;
81.12.27;70;35;80;70;9,1;
81.12.30;60;25;70;80;7,0;
81.12.33;45;25;70;90;6,2;RAL 6007
81.15.09;45;0;40;0;65,0;
81.15.12;60;0;60;0;53,9;
81.15.15;70;0;70;0;43,4;
81.15.18;80;0;70;0;35,9;
81.15.21;90;10;90;5;23,7;
81.15.24;90;10;90;15;19,5;RAL 6024
81.15.27;90;25;90;10;18,5;RAL 6032
81.15.30;100;45;90;10;12,9;RAL 6016
81.18.12;50;0;60;0;59,7;
81.18.15;70;0;80;0;47,2;
81.18.18;80;0;90;0;33,2;
81.18.21;90;5;100;5;23,3;
81.18.24;100;10;90;20;15,2;
81.18.27;100;25;100;20;13,8;RAL 6029
81.18.30;100;30;100;45;10,1;
81.18.33;90;0;80;70;8,9;
84.03.24;35;30;45;40;23,1;RAL 7023
84.06.03;5;0;15;0;82,3;
84.06.06;5;0;20;5;76,7;
84.06.09;10;0;20;5;74,8;
84.06.12;15;5;30;5;65,6;
84.06.15;10;0;30;20;58,3;
84.06.18;10;0;35;35;46,4;
84.06.21;15;0;40;50;31,7;
84.06.24;40;30;45;30;24,1;RAL 7033
84.06.25;10;0;35;70;18,1;
84.06.27;25;10;45;70;13,8;
84.06.30;35;15;50;80;9,6;
84.09.09;10;0;35;0;75,3;
84.09.12;20;5;40;0;64,0;
84.09.15;15;0;45;15;58,1;
84.09.18;25;0;50;25;44,8;
84.09.21;35;10;60;30;32,1;
84.09.24;35;5;50;35;31,9;RAL 6021
84.09.27;70;50;80;0;20,7;RAL 6011
84.09.30;50;20;70;70;9,9;
84.09.33;70;50;80;70;8,3;RAL 6020
84.12.18;40;10;70;0;45,5;
84.12.21;60;25;90;0;31,2;
84.12.24;70;45;90;0;22,3;
84.12.27;40;5;80;60;16,0;RAL 6025
84.12.30;60;15;90;70;9,8;
84.15.09;20;0;50;0;77,3;
84.15.12;30;0;60;0;68,9;
84.15.15;35;0;70;0;56,6;
84.15.18;45;0;80;5;44,6;
84.15.21;70;20;100;0;30,2;
84.15.24;70;30;100;15;20,3;
84.15.27;80;45;100;15;14,9;RAL 6010
84.15.30;70;15;90;60;11,1;RAL 6002
84.18.09;25;0;45;0;74,3;
84.18.12;45;0;70;0;63,2;
84.18.15;45;0;70;0;56,4;
84.18.18;60;0;90;0;47,5;
84.18.21;70;0;90;10;33,1;
84.18.24;60;5;90;45;20,1;RAL 6017
84.18.27;90;50;100;20;13,3;RAL 6001
84.21.03;15;0;30;0;80,9;
84.21.06;15;0;40;0;77,5;
84.21.09;20;0;60;0;76,7;
84.21.12;30;0;70;0;67,6;
84.21.15;45;0;90;0;56,1;
84.21.18;50;0;90;0;45,4;
84.21.21;60;0;100;10;32,1;
84.21.24;70;5;100;5;27,2;RAL 6018
84.21.27;80;0;100;30;21,8;
84.21.30;90;10;100;45;14,0;
84.ME.01;35;20;45;45;~ 22;DB 601
87.03.03;0;0;10;5;84,3;
87.03.06;5;0;15;10;74,5;
87.03.09;15;10;25;5;59,7;
87.03.12;0;0;15;35;51,9;
87.03.15;20;15;30;20;44,9;
87.03.18;45;40;45;5;31,6;
87.03.21;40;30;45;35;22,3;
87.03.24;20;15;40;70;15,5;
87.03.27;25;15;40;80;11,0;
87.03.30;50;40;60;80;7,1;RAL 6015
87.06.03;5;0;20;0;84,4;
87.06.06;5;0;25;5;76,3;
87.06.09;15;5;35;5;65,6;
87.06.12;5;0;35;25;56,3;
87.06.15;35;25;45;0;44,6;
87.06.18;35;25;50;25;32,1;
87.06.21;40;30;60;45;22,7;
87.06.24;20;10;50;70;13,7;
87.09.03;5;0;30;0;83,6;
87.09.06;10;0;45;0;76,3;
87.09.09;15;0;50;5;64,6;
87.09.12;10;0;45;25;55,2;
87.09.15;20;5;60;25;45,0;
87.09.18;10;0;60;50;31,6;
87.09.21;15;0;60;60;22,6;
87.09.24;60;50;90;40;14,4;
87.09.27;30;5;70;80;10,1;
87.12.09;20;0;60;0;67,1;
87.12.12;20;5;60;5;56,3;
87.12.15;25;0;70;25;44,0;
87.12.18;25;5;70;30;34,2;
87.12.21;45;20;90;45;20,6;
87.12.24;25;5;80;70;14,3;
87.12.27;70;45;100;60;9,2;
87.15.03;5;0;40;5;83,0;
87.15.06;10;0;50;0;81,7;
87.15.09;15;0;70;0;72,4;
87.15.12;25;0;90;0;64,3;
87.15.15;40;5;100;5;45,4;
87.15.18;30;5;100;25;35,0;
87.15.21;40;5;100;45;24,0;
87.18.15;30;0;100;0;60,0;
87.18.18;35;0;100;10;45,1;
87.ME.01;10;10;30;30;~ 14;
90.03.06;0;0;20;10;73,9;
90.03.09;0;0;20;20;62,9;
90.03.15;5;5;25;30;50,4;
90.03.18;10;10;35;30;44,4;RAL 7032
90.03.19;40;35;45;15;32,9;
90.03.21;35;30;50;50;20,2;RAL 7003
90.03.24;25;15;40;70;13,2;RAL 7009
90.03.27;15;5;25;80;12,8;RAL 7010
90.03.30;0;5;20;90;9,8;RAL 7022
90.06.03;0;0;15;0;84,7;
90.06.06;0;0;25;10;75,2;
90.06.09;5;5;30;10;66,5;
90.06.12;0;0;25;30;54,5;
90.06.15;25;20;45;15;45,5;
90.06.18;15;15;45;45;30,7;
90.06.21;15;15;45;60;22,3;
90.06.24;10;10;50;70;14,1;
90.06.27;40;35;60;70;9,5;
90.06.30;45;40;60;80;7,2;RAL 6006
90.06.33;90;90;100;35;6,0;RAL 6008
90.09.03;5;0;30;0;86,5;
90.09.06;5;0;35;5;76,1;
90.09.09;15;10;40;0;64,0;
90.09.12;15;10;50;5;57,6;
90.09.15;15;10;60;25;43,8;
90.09.18;40;35;70;5;31,3;
90.09.21;25;30;70;40;22,1;
90.09.24;10;10;70;70;14,1;
90.09.27;25;10;60;80;10,6;RAL 6003
90.12.06;5;0;40;0;75,5;
90.12.09;5;0;50;10;66,4;
90.12.12;20;10;70;0;58,1;
90.12.15;20;15;80;15;43,8;
90.12.18;25;25;90;30;30,0;
90.12.21;35;25;100;45;21,2;
90.12.24;15;15;90;70;15,0;
90.15.06;10;0;70;0;74,9;
